email,masterId,quantity,date,topCategory,productCategory
sivaganesh803@gmail.com,m80,3,2024-12-18T22:40:04.047000Z,67d79cfa691e0207cb9675a4,67d7a199691e0207cb9675b7
sivaganesh247@gmail.com,m3,5,2025-03-13T08:37:35.988000Z,67d79ce4691e0207cb9675a2,67d7a165691e0207cb9675b4
sivaganesh174@gmail.com,m40,1,2024-12-02T07:12:24.298000Z,67d79ce4691e0207cb9675a2,67d7a165691e0207cb9675b4
sivaganesh897@gmail.com,m15,1,2024-11-24T07:03:45.533000Z,67d79cfa691e0207cb9675a4,67d7a199691e0207cb9675b7
sivaganesh424@gmail.com,m39,7,2024-11-03T16:58:49.252000Z,67b6e2be58de261b40d33c03,67d7a11d691e0207cb9675ad
sivaganesh935@gmail.com,m54,7,2024-12-15T06:13:22.053000Z,67d79d18691e0207cb9675a8,67d7a218691e0207cb9675bc
sivaganesh653@gmail.com,m42,10,2025-03-18T20:50:34.850000Z,67d79d03691e0207cb9675a5,67d7a1aa691e0207cb9675b9
sivaganesh352@gmail.com,m84,2,2025-01-11T23:53:33.158000Z,67b6e2c458de261b40d33c04,67d7a132691e0207cb9675b0
sivaganesh973@gmail.com,m46,4,2025-03-12T11:06:03.952000Z,67d79cfa691e0207cb9675a4,67d7a1a2691e0207cb9675b8
sivaganesh794@gmail.com,m54,2,2024-11-20T03:54:53.855000Z,67d79d03691e0207cb9675a5,67d7a1ae691e0207cb9675ba
sivaganesh490@gmail.com,m47,5,2025-02-25T21:04:18.850000Z,67d79ce4691e0207cb9675a2,67d7a165691e0207cb9675b4
sivaganesh349@gmail.com,m72,4,2024-11-18T18:58:33.451000Z,67b6e2be58de261b40d33c03,67d7a123691e0207cb9675ae
msivaganesh1012@gmail.com,m4,8,2024-12-10T09:15:18.926000Z,67d79d03691e0207cb9675a5,67d7a1aa691e0207cb9675b9
sivaganesh273@gmail.com,m64,7,2025-02-11T22:08:00.530000Z,67b6e2be58de261b40d33c03,67d7a11d691e0207cb9675ad
msivaganesh512@gmail.com,m37,3,2024-12-15T22:44:04.036000Z,67b6e2b858de261b40d33c02,67d7a10e691e0207cb9675ab
sivaganesh314@gmail.com,m57,10,2025-01-12T05:49:26.756000Z,67d79cdc691e0207cb9675a1,67d7a15b691e0207cb9675b3
sivaganesh736@gmail.com,m53,4,2024-11-18T02:07:06.922000Z,67d79d18691e0207cb9675a8,67d7a218691e0207cb9675bc
sivaganesh925@gmail.com,m15,10,2024-11-03T05:23:11.888000Z,67d79d03691e0207cb9675a5,67d7a1aa691e0207cb9675b9
sivaganesh277@gmail.com,m89,8,2025-02-19T08:00:53.666000Z,67b6e2b858de261b40d33c02,67d7a114691e0207cb9675ac
msivaganesh512@gmail.com,m95,5,2025-03-02T19:19:21.311000Z,67d79cdc691e0207cb9675a1,67d7a153691e0207cb9675b2
